id,name,device_type,device_role,serial,status,site,rack,position,tenant
2960,Agregador TA-25-1 (CPD),,Agregador de tráfego para Visibilidade de Dados,,Active,CPD,Rack Nexus CPD,34.0,
2565,AP-Abelardo-Luz-TJ_01,,Access Point,,Active,Abelardo Luz,,,MPSC
2566,AP-Abelardo-Luz-TJ_02,,Access Point,,Active,Abelardo Luz,,,MPSC
62,AP_ACAD_1A_101,,Access Point,TSP2112ADHZ,Active,Academia Judicial / UDB,,,
76,AP_ACAD_1A_102,,Access Point,TSP2112ADIC,Active,Academia Judicial / UDB,,,
81,AP_ACAD_1A_Corredor,,Access Point,TSP2112ACGI,Active,Academia Judicial / UDB,,,
68,AP_ACAD_2A_201,,Access Point,TSP2112ACGG,Active,Academia Judicial / UDB,,,
69,AP_ACAD_2A_202,,Access Point,TSP2112ADJL,Active,Academia Judicial / UDB,,,
77,AP_ACAD_3A_301,,Access Point,TSP2112ACZL,Active,Academia Judicial / UDB,,,
66,AP_ACAD_3A_302,,Access Point,TSP2112ACGC,Active,Academia Judicial / UDB,,,
80,AP_ACAD_4A_401,,Access Point,TSP2112ADJH,Active,Academia Judicial / UDB,,,
79,AP_ACAD_4A_402,,Access Point,TSP2112ADJD,Active,Academia Judicial / UDB,,,
67,AP_ACAD_4A_Corredor,,Access Point,TSP2112ADJU,Active,Academia Judicial / UDB,,,
70,AP_ACAD_5A_501,,Access Point,TSP2112ADIU,Active,Academia Judicial / UDB,,,
71,AP_ACAD_5A_502,,Access Point,TSP2112ADCG,Active,Academia Judicial / UDB,,,
65,AP_ACAD_6A_601,,Access Point,TSP2113AAFN,Active,Academia Judicial / UDB,,,
75,AP_ACAD_6A_602,,Access Point,TSP2112ADIB,Active,Academia Judicial / UDB,,,
64,AP_ACAD_6A_Corredor,,Access Point,TSP2112ADBZ,Active,Academia Judicial / UDB,,,
78,AP_ACAD_Atico,,Access Point,TSP2112ADKT,Active,Academia Judicial / UDB,,,
72,AP_ACAD_Terreo_001,,Access Point,TSP2112ADIK,Active,Academia Judicial / UDB,,,
74,AP_ACAD_Terreo_007,,Access Point,TSP2112ADJK,Active,Academia Judicial / UDB,,,
73,AP_ACAD_Terreo_Corredor,,Access Point,TSP2112ACKT,Active,Academia Judicial / UDB,,,
16,AP_ACCR_6A_601,,Access Point,,Active,ACCR,T4.6A.R1,,
17,AP_ACCR_6A_602,,Access Point,,Active,ACCR,T4.6A.R1,,
2274,AP-ALMOX-01,,Access Point,,Active,Almoxarifado,,,
3149,AP-ALMOX-TRANSP,,Access Point,,Active,Almoxarifado,,,
2258,AP-Anchieta-TJ_01,,Access Point,,Active,Anchieta,,,MPSC
2194,AP-Anita-Garibaldi-TJ_01,,Access Point,,Active,Anita Garibaldi,,,MPSC
2195,AP-Anita-Garibaldi-TJ_02,,Access Point,,Active,Anita Garibaldi,,,MPSC
2672,AP-Araquari-TJ_01,,Access Point,,Active,Araquari,,,MPSC
2673,AP-Araquari-TJ_02,,Access Point,,Active,Araquari,,,MPSC
2378,AP-Ararangua-TJ_01,,Access Point,,Active,Araranguá,,,MPSC
2379,AP-Ararangua-TJ_02,,Access Point,,Active,Araranguá,,,MPSC
2380,AP-Ararangua-TJ_03,,Access Point,,Active,Araranguá,,,MPSC
2381,AP-Ararangua-TJ_04,,Access Point,,Active,Araranguá,,,MPSC
2382,AP-Ararangua-TJ_05,,Access Point,,Active,Araranguá,,,MPSC
2383,AP-Ararangua-TJ_06,,Access Point,,Active,Araranguá,,,MPSC
2521,AP-Armazem-TJ_01,,Access Point,,Active,Armazém,,,MPSC
2522,AP-Armazem-TJ_02,,Access Point,,Active,Armazém,,,MPSC
2523,AP-Armazem-TJ_03,,Access Point,,Active,Armazém,,,MPSC
3379,AP-ARQ-CENTRAL-01,,Access Point,,Active,Aririú,,,
3380,AP-ARQ-CENTRAL-02,,Access Point,,Active,Aririú,,,
3381,AP-ARQ-CENTRAL-03,,Access Point,,Active,Aririú,,,
3382,AP-ARQ-CENTRAL-04,,Access Point,,Active,Aririú,,,
3383,AP-ARQ-CENTRAL-05,,Access Point,,Active,Aririú,,,
2107,AP-Ascurra-TJ_01,,Access Point,,Active,Ascurra,,,MPSC
2108,AP-Ascurra-TJ_02,,Access Point,,Active,Ascurra,,,MPSC
2109,AP-Ascurra-TJ_03,,Access Point,,Active,Ascurra,,,MPSC
2660,AP-Balneario-Camboriu-TJ_01,,Access Point,,Active,Balneário Camboriú,,,MPSC
2661,AP-Balneario-Camboriu-TJ_02,,Access Point,,Active,Balneário Camboriú,,,MPSC
2662,AP-Balneario-Camboriu-TJ_03,,Access Point,,Active,Balneário Camboriú,,,MPSC
2663,AP-Balneario-Camboriu-TJ_04,,Access Point,,Active,Balneário Camboriú,,,MPSC
2664,AP-Balneario-Camboriu-TJ_05,,Access Point,,Active,Balneário Camboriú,,,MPSC
2665,AP-Balneario-Camboriu-TJ_06,,Access Point,,Active,Balneário Camboriú,,,MPSC
2666,AP-Balneario-Camboriu-TJ_07,,Access Point,,Active,Balneário Camboriú,,,MPSC
2667,AP-Balneario-Camboriu-TJ_08,,Access Point,,Active,Balneário Camboriú,,,MPSC
2668,AP-Balneario-Camboriu-TJ_09,,Access Point,,Active,Balneário Camboriú,,,MPSC
2669,AP-Balneario-Camboriu-TJ_10,,Access Point,,Active,Balneário Camboriú,,,MPSC
2670,AP-Balneario-Camboriu-TJ_11,,Access Point,,Active,Balneário Camboriú,,,MPSC
2671,AP-Balneario-Camboriu-TJ_12,,Access Point,,Active,Balneário Camboriú,,,MPSC
2458,AP-Balneario-Picarras-TJ_01,,Access Point,,Active,Balneário Piçarras,,,MPSC
2459,AP-Balneario-Picarras-TJ_02,,Access Point,,Active,Balneário Piçarras,,,MPSC
2460,AP-Balneario-Picarras-TJ_03,,Access Point,,Active,Balneário Piçarras,,,MPSC
2461,AP-Balneario-Picarras-TJ_04,,Access Point,,Active,Balneário Piçarras,,,MPSC
2674,AP-Barra-Velha-TJ_01,,Access Point,,Active,Barra Velha,,,MPSC
2675,AP-Barra-Velha-TJ_02,,Access Point,,Active,Barra Velha,,,MPSC
2676,AP-Barra-Velha-TJ_03,,Access Point,,Active,Barra Velha,,,MPSC
2112,AP-Biguacu-TJ_01,,Access Point,,Active,Biguaçu,,,MPSC
